Date&Time,GHI,DHI,DNI,GTI,Temperature,GTI Loss,Irradiance Shading Loss,IAM Loss,Soiling and Snow Loss,Nominal Energy,Irradiance Level Loss,Shading Electrical Loss,Temperature Loss,Module Quality Loss,Optimizer Max Input Current Loss,Yield Factor Loss,Optimizer Loss,Rear Side Shading Electrical Loss,LID Loss,Ohmic Loss,String Clipping Loss,Array Energy,PV Inverter Efficiency Loss,AC-coupled Inverter Efficiency Loss,Clipping Loss,System Unavailability Loss,Export Limitation Loss,Battery charge,Battery Discharge,Battery State Of Energy,Inverter Output,DC Inverter Output,AC Inverter Output,Consumption,Self-consumption,Imported,Exported,Performance Ratio,ExportedPrice
,W/m^2,W/m^2,W/m^2,W/m^2,C,W/m^2,W/m^2,W/m^2,W/m^2,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,,EUR/kWh
01-Jan 00:00:00,0.0,0.0,0.0,0.0,0.5965720926480165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,1489.684266033882,0.0,1489.684266033882,0.0,0.0,0.08,
01-Jan 01:00:00,0.0,0.0,0.0,0.0,0.33476724482526254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,782.0842396677882,0.0,782.0842396677882,0.0,0.0,0.08,
01-Jan 02:00:00,0.0,0.0,0.0,0.0,0.07296239700250906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,782.0842396677882,0.0,782.0842396677882,0.0,0.0,0.08,
01-Jan 03:00:00,0.0,0.0,0.0,0.0,-0.18884245082024487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,782.0842396677882,0.0,782.0842396677882,0.0,0.0,0.08,
01-Jan 04:00:00,0.0,0.0,0.0,0.0,-0.4506472986429988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,782.0842396677882,0.0,782.0842396677882,0.0,0.0,0.08,
01-Jan 05:00:00,0.0,0.0,0.0,0.0,-0.7124521464657527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,782.0842396677882,0.0,782.0842396677882,0.0,0.0,0.08,
01-Jan 06:00:00,0.0,0.0,0.0,0.0,-0.9742569942885067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,968.2947729220233,0.0,968.2947729220233,0.0,0.0,0.08,
01-Jan 07:00:00,0.0,0.0,0.0,0.0,-1.2360618421112606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,1191.7474128271058,0.0,1191.7474128271058,0.0,0.0,0.08,
01-Jan 08:00:00,1.289320971325864,1.289320971325864,0.0,0.0,-0.8388513800150359,1.289320971325864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,1601.410585986423,0.0,1601.410585986423,0.0,0.0,0.08,
01-Jan 09:00:00,34.02003775740667,34.02003775740667,0.0,32.18727750436083,0.1856641766432956,1.8327602530458407,1.8612515036440167,0.9638761271446914,0.0,240.47600746455564,47.06205892052618,0.0,-17.009930474162594,-0.566418672405477,0.0,0.0,4.24748226259838,0.0,0.0,0.07782661111914273,0.0,206.66498881688005,20.467437944294296,0.0,0.0,0.0,0.0,0.0,0.0,880.0,186.19755087258577,186.19755087258577,0.0,1973.8316524948937,186.19755087258568,1787.634101622308,8.526512829121202E-14,0.7063276133259884,0.08,
