Date&Time,GHI,DHI,DNI,GTI,Temperature,GTI Loss,Irradiance Shading Loss,IAM Loss,Soiling and Snow Loss,Nominal Energy,Irradiance Level Loss,Shading Electrical Loss,Temperature Loss,Module Quality Loss,Optimizer Max Input Current Loss,Yield Factor Loss,Optimizer Loss,Rear Side Shading Electrical Loss,LID Loss,Ohmic Loss,String Clipping Loss,Array Energy,PV Inverter Efficiency Loss,AC-coupled Inverter Efficiency Loss,Clipping Loss,System Unavailability Loss,Export Limitation Loss,Battery charge,Battery Discharge,Battery State Of Energy,Inverter Output,DC Inverter Output,AC Inverter Output,Consumption,Self-consumption,Imported,Exported,Performance Ratio,ImportedPrice,ExportedPrice
,W/m^2,W/m^2,W/m^2,W/m^2,C,W/m^2,W/m^2,W/m^2,W/m^2,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,,EUR/kWh,EUR/kWh
01-Jan 00:00:00,0.0,0.0,0.0,0.0,0.6066763050058901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4911.637993540313,0.0,4911.637993540313,0.0,0.0,0.25,0.07,
01-Jan 01:00:00,0.0,0.0,0.0,0.0,0.3460546822748167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.6099466086644,0.0,2578.6099466086644,0.0,0.0,0.25,0.07,
01-Jan 02:00:00,0.0,0.0,0.0,0.0,0.08543305954374336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.6099466086644,0.0,2578.6099466086644,0.0,0.0,0.25,0.07,
01-Jan 03:00:00,0.0,0.0,0.0,0.0,-0.17518856318733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.6099466086644,0.0,2578.6099466086644,0.0,0.0,0.25,0.07,
01-Jan 04:00:00,0.0,0.0,0.0,0.0,-0.43581018591840337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.6099466086644,0.0,2578.6099466086644,0.0,0.0,0.25,0.07,
01-Jan 05:00:00,0.0,0.0,0.0,0.0,-0.6964318086494767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.6099466086644,0.0,2578.6099466086644,0.0,0.0,0.25,0.07,
01-Jan 06:00:00,0.0,0.0,0.0,0.0,-0.9570534313805501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3192.564695801203,0.0,3192.564695801203,0.0,0.0,0.25,0.07,
01-Jan 07:00:00,0.0,0.0,0.0,0.0,-1.217675054111623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3929.3103948322505,0.0,3929.3103948322505,0.0,0.0,0.25,0.07,
01-Jan 08:00:00,1.3459185717042148,1.3459185717042148,0.0,0.0,-0.8220285597435999,1.3459185717042148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5280.010843055836,0.0,5280.010843055836,0.0,0.0,0.25,0.07,
01-Jan 09:00:00,33.925022531439225,33.925022531439225,0.0,33.119790919477786,0.19823590232363175,0.8052316119614389,0.774488349931031,1.4118675518620458,0.0,639.7034361657198,120.66872301342795,-1.7763568394002505E-15,-46.05075910469186,-4.127453717916347,0.0,0.0,14.758309868137442,0.0,0.0,0.22058857124621162,0.0,554.2340275355166,49.23902266435169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.99500487116484,504.99500487116484,0.0,6507.920341440914,504.9950048711644,6002.92533656975,4.547473508864641E-13,0.7373091255818518,0.25,0.07,
01-Jan 10:00:00,76.45993689567369,57.397367728273984,90.71549164353979,85.03225167518593,1.781577327434213,-8.57231477951224,2.3721388750025696,4.761226155074995,0.0,1610.9489758208408,139.07426406665286,54.4435630754626,-112.98022640268745,-11.305673361400354,3.907985046680551E-14,0.0,22.98826022803253,0.0,0.0,1.6501541463458964,0.0,1517.0786340684344,64.59524127156345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452.4833927968712,1452.4833927968712,0.0,7367.456990310469,1452.4833927968707,5914.973597513599,3.410605131648481E-13,0.8259953631422596,0.25,0.07,
01-Jan 11:00:00,190.19878140551273,75.34481197098258,417.11908570182334,223.0071069836706,3.1837165353555776,-32.80832557815788,8.781572798725149,13.97684552027614,0.0,4141.1428815853615,125.26162039808563,390.26723765995587,-205.90394673189775,-28.19800459660768,5.684341886080802E-14,0.0,71.78402404486039,0.0,0.0,10.434867454390767,0.0,3777.4970833565744,90.90715187483755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3686.589931481737,3686.589931481737,0.0,7244.666040471961,3686.589931481737,3558.0761089902244,0.0,0.7993854555111427,0.25,0.07,
01-Jan 12:00:00,211.00810085767444,77.34313309886456,443.10523266321155,256.42425567400016,4.326714706075068,-45.41615481632573,8.26201167690154,18.482840191863563,0.0,4749.7700706922615,122.52869115485694,487.1564250684106,-210.9308732364073,-32.106472991733284,1.2789769243681803E-13,0.0,70.15276214096365,0.0,0.0,13.683956371598539,0.0,4299.2855821845715,99.05832184076438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.227260343807,4200.227260343807,0.0,5280.010843055836,4200.227260343807,1079.7835827120289,0.0,0.7920704276579719,0.25,0.07,
01-Jan 13:00:00,186.06091421454173,84.37424785162021,353.9920757879625,228.78823317717217,5.147037542713152,-42.72731896263045,16.82198426558039,16.6094357862471,0.0,4039.978895432129,130.22355714662686,649.616129779276,-188.5441280316279,-25.447502868746653,-2.1316282072803006E-14,0.0,55.6829540382995,0.0,0.0,8.388807816976957,0.0,3410.059077551323,85.43190718142387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3324.6271703698994,3324.6271703698994,0.0,3929.3103948322505,3324.6271703698994,604.6832244623513,0.0,0.7026828897262001,0.25,0.07,
01-Jan 14:00:00,102.3143550599821,69.627212252218,140.205687395758,122.8094502900521,5.599086866746751,-20.495095230069992,7.761199601903293,9.586628343592725,0.0,2180.94635008542,141.56046238407203,217.84666218710393,-121.00795293171497,-14.40475814795862,-7.105427357601002E-15,0.0,21.91275871814237,0.0,0.0,2.7006364483224226,0.0,1932.3385414274526,69.3726975980141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1862.9658438294387,1862.9658438294387,0.0,3683.7284951552347,1862.9658438294387,1820.762651325796,0.0,0.7335390159909699,0.25,0.07,
01-Jan 15:00:00,56.084245556763506,40.279689915927605,110.53388087397428,73.17312225464269,5.657735222425641,-17.088876697879186,8.20132800435555,7.358485953507279,0.0,1191.4432155774075,132.88727622009054,77.05005861261034,-69.09209975826744,-7.716232640220635,1.4210854715202004E-14,0.0,21.7669618068893,0.0,0.0,0.78831703001083,0.0,1035.7589343062948,66.31590414656355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.4430301597313,969.4430301597313,0.0,3929.3103948322505,969.4430301597313,2959.867364672519,0.0,0.6406499836211731,0.25,0.07,
01-Jan 16:00:00,12.112334397025453,12.112334397025453,0.0,11.30940144154068,5.478083134654298,0.8029329554847724,0.2588233992495006,0.31863921681693574,0.0,221.93649491080737,81.22543695933774,0.0,-8.957977710471436,-0.9899833965627589,-4.440892098500626E-16,0.0,17.671249453573196,0.0,0.0,0.012839046345511142,0.0,132.97493055858519,23.387679711399507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.58725084718577,109.58725084718577,0.0,3929.3103948322505,109.58725084718571,3819.723143985065,4.973799150320701E-14,0.46856573358608355,0.25,0.07,
01-Jan 17:00:00,0.0,0.0,0.0,0.0,5.193739845089276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5280.010843055836,0.0,5280.010843055836,0.0,0.0,0.25,0.07,
01-Jan 18:00:00,0.0,0.0,0.0,0.0,4.9394217788933386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6876.293190956438,0.0,6876.293190956438,0.0,0.0,0.25,0.07,
01-Jan 19:00:00,0.0,0.0,0.0,0.0,4.685103712697403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7858.620789664501,0.0,7858.620789664501,0.0,0.0,0.25,0.07,
01-Jan 20:00:00,0.0,0.0,0.0,0.0,4.430785646501469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9209.321237888087,0.0,9209.321237888087,0.0,0.0,0.25,0.07,
01-Jan 21:00:00,0.0,0.0,0.0,0.0,4.176467580305532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8718.157438534054,0.0,8718.157438534054,0.0,0.0,0.25,0.07,
01-Jan 22:00:00,0.0,0.0,0.0,0.0,3.922149514109598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7244.666040471961,0.0,7244.666040471961,0.0,0.0,0.25,0.07,
01-Jan 23:00:00,0.0,0.0,0.0,0.0,3.667831447913662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5525.592742732852,0.0,5525.592742732852,0.0,0.0,0.25,0.07,
02-Jan 00:00:00,0.0,0.0,0.0,0.0,4.170207615390508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.6383430748724,0.0,2690.6383430748724,0.0,0.0,0.25,0.07,
02-Jan 01:00:00,0.0,0.0,0.0,0.0,4.233004636325114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.6383430748724,0.0,2690.6383430748724,0.0,0.0,0.25,0.07,
02-Jan 02:00:00,0.0,0.0,0.0,0.0,4.2958016572597195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.6383430748724,0.0,2690.6383430748724,0.0,0.0,0.25,0.07,
02-Jan 03:00:00,0.0,0.0,0.0,0.0,4.358598678194325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.6383430748724,0.0,2690.6383430748724,0.0,0.0,0.25,0.07,
02-Jan 04:00:00,0.0,0.0,0.0,0.0,4.421395699128931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3179.8453145430312,0.0,3179.8453145430312,0.0,0.0,0.25,0.07,
02-Jan 05:00:00,0.0,0.0,0.0,0.0,4.484192720063536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4035.957514612309,0.0,4035.957514612309,0.0,0.0,0.25,0.07,
02-Jan 06:00:00,0.0,0.0,0.0,0.0,4.546989740998142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5258.974943282705,0.0,5258.974943282705,0.0,0.0,0.25,0.07,
02-Jan 07:00:00,0.0,0.0,0.0,0.0,4.609786761932748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6604.294114820142,0.0,6604.294114820142,0.0,0.0,0.25,0.07,
02-Jan 08:00:00,0.8766333643650606,0.8766333643650606,0.0,0.0,4.6725837828673535,0.8766333643650606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7460.406314889418,0.0,7460.406314889418,0.0,0.0,0.25,0.07,
